gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,Neuron__Sham,Neuron__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke,T_cell__Sham,T_cell__Stroke
Tm4sf1,1.069638,1.3098702,1.7054098,1.6841977,0.18811315,0.21660064,0.26470807,0.2557723,0.3258101,0.31995532,0.22844577,0.3986867,0.31242546,0.56450486,0.14935203,0.31917232,1.7131013,1.5576667,0.2028287,0.3490938
Tlr2,0.006575104,0.005452296,0.013939242,0.013818941,0.27625877,0.42006025,0.32315883,0.5216719,0.04065931,0.034072556,0.004098991,0.004400509,0.0025366538,0.011507938,0.00112856,0.0065668426,0.0032204925,0.0045690634,0.0,0.006865701
Anxa2,1.2364726,1.4311526,0.7706248,0.91048336,0.65567595,1.1176298,0.102679126,0.274427,0.046241492,0.1207653,0.08372049,0.2867936,0.35719103,0.6028289,0.07302807,0.19769998,0.6697755,0.7007163,0.6877234,0.8357902
Cxcl1,0.018249143,0.024875026,0.11071106,0.11830596,0.20693965,0.27650872,0.023033217,0.061537754,0.016239993,0.05059929,0.004975548,0.066849455,0.11954554,0.2423349,0.010420019,0.038259003,0.13593645,0.13231494,0.06605038,0.050517
Mrc1,0.0,0.0034376958,0.0002989752,0.0016450791,1.24511,0.7958305,0.024118446,0.088222936,0.0010130749,0.0031898136,0.0,0.004589938,0.010538081,0.0,0.0006335447,0.0066521675,0.0065136063,0.009056446,0.0,0.0
Cd44,0.05590979,0.0867189,0.00085700885,0.0011947273,0.31549203,0.51312417,0.005249105,0.04515358,0.0,0.003025237,0.0042478354,0.017943565,0.011873734,0.03471187,0.0019533013,0.012008458,0.01033062,0.017309275,0.21976079,0.3634834
Tgfb2,0.29835156,0.25986353,0.6966417,0.56988245,0.07548764,0.053418152,0.1078406,0.078961775,0.9502327,0.83297986,0.091604955,0.100578286,0.12425464,0.1368054,0.061982963,0.09379865,0.5306262,0.419139,0.096929856,0.07768049
Il10,0.0,0.0,0.00028984935,2.1289496e-05,0.10685325,0.057761714,0.0,0.007258803,0.00026363894,0.00031451823,0.0,0.00020216926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013311856
Cybb,0.0,0.002100264,0.0014017615,0.0011262365,1.0409708,0.9033391,0.011975428,0.112236634,0.0,0.003084944,0.0,0.0039640726,0.0054577854,0.0038397426,0.0010817108,0.0037601348,0.0,0.0021509507,0.0,0.0032281785
Macrod1,0.37245515,0.40535218,0.0474519,0.036532804,0.07916911,0.049955316,0.047534574,0.040366758,0.36109006,0.405899,0.13018568,0.07576982,0.06948839,0.056676667,0.3366678,0.31511998,0.08598508,0.077787295,0.16436416,0.050657075
Emp1,0.1072156,0.16878931,0.05969811,0.120866045,0.016257701,0.14124805,0.019486016,0.022232808,0.0014951504,0.0095932195,0.0039212974,0.04717007,0.14179723,0.19288185,0.0033264596,0.017227508,0.032570325,0.031660996,0.0,0.073248714
Hif1a,0.32421303,0.33254957,0.39317492,0.49309728,0.5107709,0.6402633,0.3810748,0.6100507,0.52715975,0.5516438,0.4660058,0.48968092,0.5493932,0.6247575,0.3875607,0.43549928,0.5288108,0.519775,0.41303733,0.7403201
Cxcl2,0.0,0.018381564,0.05333742,0.06862148,1.3189675,1.9802814,0.23289993,0.593389,0.0061996556,0.02933011,0.004219253,0.05984853,0.0078090946,0.07245903,0.004252202,0.043708537,0.025103137,0.031869575,0.0,0.13245152
Pparg,0.0017513173,0.0017674399,0.0032233526,0.0032241303,0.082970195,0.03558195,0.0,0.0009084053,0.011914312,0.0102734035,0.035971463,0.010825642,0.0,0.0054696924,0.00032154753,0.0004474448,0.003813026,0.0017842517,0.06373656,0.004709263
Socs1,0.073324285,0.07197797,0.08780054,0.044440813,0.10563532,0.045965247,0.0465337,0.026362691,0.05410344,0.031148804,0.038253184,0.01758987,0.1552259,0.07261012,0.012060359,0.013601469,0.08270497,0.041373637,0.5651751,0.46234593
