"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","timepoint","cell_type"
0.000125830732469991,-0.649701078408404,0.465,0.566,1,"Cdk8","D3","Pericyte"
0.000127135228648774,0.708351934588985,0.403,0.189,1,"Peak1","D3","Pericyte"
0.000129158865080445,2.26080536811045,0.126,0.026,1,"Angpt1","D3","Pericyte"
0.000131980102909896,1.24697949357888,0.164,0.044,1,"Tmem164","D3","Pericyte"
0.000136873112057945,0.971807835379292,0.22,0.075,1,"Tbx15","D3","Pericyte"
0.000141411391571833,1.17991840479249,0.195,0.061,1,"Kirrel","D3","Pericyte"
0.000143229972096882,0.941572129504882,0.264,0.105,1,"Vps13b","D3","Pericyte"
0.000147770969885832,0.719765022033165,0.321,0.132,1,"Sbf2","D3","Pericyte"
0.000148959065248087,1.70734124420269,0.151,0.039,1,"Ccnt2","D3","Pericyte"
0.000150628546481626,1.39782714024239,0.145,0.035,1,"Tgfb2","D3","Pericyte"
0.000156492548654032,0.946700796279281,0.308,0.136,1,"Rbm25","D3","Pericyte"
0.000163023814768369,2.21258860154005,0.107,0.018,1,"Myof","D3","Pericyte"
0.000164939561175301,1.07843901315482,0.208,0.07,1,"Slmap","D3","Pericyte"
0.000168365846318274,1.42989578624354,0.151,0.039,1,"Hdac7","D3","Pericyte"
0.000170419271052624,0.671379770648728,0.434,0.211,1,"Ror1","D3","Pericyte"
0.000175735066393279,-1.20956183938809,0.157,0.311,1,"Aldoa","D3","Pericyte"
0.000193983840326601,1.29363062724877,0.182,0.057,1,"Rsu1","D3","Pericyte"
0.000201037366230107,1.48066575304001,0.157,0.044,1,"Map4k5","D3","Pericyte"
0.000202925714934251,0.915702635689961,0.252,0.096,1,"Grk5","D3","Pericyte"
0.000203223133038901,1.13767804944593,0.226,0.083,1,"Stat3","D3","Pericyte"
0.000205370983184893,-3.60328599153814,0.013,0.11,1,"Ubl5","D3","Pericyte"
0.000208916066759062,2.13630401027718,0.113,0.022,1,"Naa15","D3","Pericyte"
0.000209423363004965,1.07922747638683,0.226,0.083,1,"Dyrk1a","D3","Pericyte"
0.000211798848156717,0.788293199571536,0.314,0.136,1,"Epas1","D3","Pericyte"
0.000212222961209743,-1.97468131850808,0.069,0.197,1,"Rpl19","D3","Pericyte"
0.000214060547538896,1.06244841208179,0.233,0.088,1,"Wwtr1","D3","Pericyte"
0.000218982064976285,0.687893888327683,0.478,0.25,1,"Zfand3","D3","Pericyte"
0.000220355287962314,1.90928553653148,0.113,0.022,1,"Sipa1l2","D3","Pericyte"
0.00022776681483677,0.649456140519938,0.453,0.224,1,"Kalrn","D3","Pericyte"
0.00022939468717704,1.85147162815947,0.138,0.035,1,"Mtcl1","D3","Pericyte"
0.000229661263067377,-1.82805456639951,0.088,0.219,1,"Chchd10","D3","Pericyte"
0.000230632947025462,0.710709209376247,0.39,0.184,1,"Aopep","D3","Pericyte"
0.000234450088850785,0.680940912094662,0.409,0.193,1,"Msi2","D3","Pericyte"
0.000237231845050306,0.783976010407874,0.27,0.11,1,"Rbm6","D3","Pericyte"
0.000237994767953027,0.767997571681396,0.252,0.096,1,"Spred2","D3","Pericyte"
0.00024616645447294,1.36073116961466,0.164,0.048,1,"Fam20a","D3","Pericyte"
0.000254612379258553,0.939931450533429,0.245,0.096,1,"Gnaq","D3","Pericyte"
0.000260510151041523,0.846826682202509,0.252,0.096,1,"Actn4","D3","Pericyte"
0.000269134983275606,1.11096017522277,0.239,0.096,1,"Pde4b","D3","Pericyte"
0.000279170159303562,0.74957506501335,0.346,0.158,1,"Map3k20","D3","Pericyte"
0.000281433228461481,1.23089050189597,0.164,0.048,1,"Fam107b","D3","Pericyte"
0.000296322460919003,1.45479709065403,0.138,0.035,1,"Nckap5","D3","Pericyte"
0.000300081182220816,0.913972515567511,0.283,0.123,1,"Crim1","D3","Pericyte"
0.000301903095074798,0.891821145970008,0.258,0.105,1,"Nfat5","D3","Pericyte"
0.000304804131268701,1.12230041766204,0.214,0.079,1,"Map4k3","D3","Pericyte"
0.000308101636646355,0.691193507544658,0.314,0.136,1,"Mylk","D3","Pericyte"
0.000308273787768494,0.853555880644334,0.308,0.136,1,"Large1","D3","Pericyte"
0.000308452875318119,1.16966711489131,0.195,0.066,1,"Emcn","D3","Pericyte"
0.000310304851724078,1.24264142918794,0.138,0.035,1,"Mtss1","D3","Pericyte"
0.000310784338308451,-1.19165298024253,0.189,0.329,1,"mt-Nd2","D3","Pericyte"
0.000311282894496248,1.52674029933746,0.145,0.039,1,"Smurf1","D3","Pericyte"
0.000315063284489699,0.680404013856481,0.371,0.175,1,"Mprip","D3","Pericyte"
0.000316470268613249,1.43663503509299,0.151,0.044,1,"Pcnx","D3","Pericyte"
0.00032307904950561,1.62647817262195,0.145,0.039,1,"Pias2","D3","Pericyte"
0.000341644356691088,2.05980901298735,0.101,0.018,1,"Fn1","D3","Pericyte"
0.000341760591373778,1.18269768336515,0.17,0.053,1,"Phc2","D3","Pericyte"
0.000341760591373778,1.1884323316293,0.17,0.053,1,"Col8a1","D3","Pericyte"
0.00034282669215357,1.51816854191786,0.145,0.039,1,"Wnt5b","D3","Pericyte"
0.000344717563736434,0.644802218178449,0.509,0.268,1,"Macf1","D3","Pericyte"
0.000344916254061652,0.72304279459952,0.314,0.14,1,"Hip1","D3","Pericyte"
0.000344985039893053,1.66011824976637,0.157,0.048,1,"Cul5","D3","Pericyte"
0.000346871287368001,1.21031719859844,0.176,0.057,1,"Cpeb4","D3","Pericyte"
0.000347997184532767,2.00975879741887,0.101,0.018,1,"Bcr","D3","Pericyte"
0.000355269974140308,1.18263916555615,0.182,0.061,1,"Gatad2b","D3","Pericyte"
0.000358317851079507,1.12207270622722,0.17,0.053,1,"Cep112","D3","Pericyte"
0.000360210405626044,0.859211480727213,0.302,0.136,1,"Ssh2","D3","Pericyte"
0.000364811704187886,0.806480558012119,0.321,0.149,1,"Susd6","D3","Pericyte"
0.000374330633286784,1.90256922481788,0.126,0.031,1,"Iqsec2","D3","Pericyte"
0.000383115995283291,-2.70033677174274,0.031,0.136,1,"Vti1b","D3","Pericyte"
0.000397477592034053,-1.2258261285987,0.176,0.311,1,"Arpp21","D3","Pericyte"
0.000401805923446375,2.23368427523851,0.107,0.022,1,"Chst11","D3","Pericyte"
0.000411724790885632,1.67619815017724,0.126,0.031,1,"Cdc42bpb","D3","Pericyte"
0.000419279108866552,-1.5598753471992,0.094,0.224,1,"Stmn1","D3","Pericyte"
0.000421387489440863,-1.443928631906,0.164,0.289,1,"Rps29","D3","Pericyte"
0.00042294001707884,-1.48523335455441,0.17,0.294,1,"Ppia","D3","Pericyte"
0.000431703940543805,1.61368736032557,0.126,0.031,1,"Mfhas1","D3","Pericyte"
0.00043707566346294,1.43317207790725,0.157,0.048,1,"Cuedc1","D3","Pericyte"
0.000440103444523079,1.48193086807177,0.157,0.048,1,"Dysf","D3","Pericyte"
0.000446967283498074,1.37273189276383,0.164,0.053,1,"Phf14","D3","Pericyte"
0.000450443195766743,0.771275870821165,0.302,0.136,1,"Sik3","D3","Pericyte"
0.000457690667610217,1.85736156872129,0.107,0.022,1,"Arhgef10l","D3","Pericyte"
0.000466779761800822,0.633203272874985,0.44,0.228,1,"Luc7l2","D3","Pericyte"
0.000485170688776474,0.91752873811391,0.233,0.092,1,"Tead1","D3","Pericyte"
0.000492826932858986,-1.27607695990846,0.132,0.268,1,"Cox8a","D3","Pericyte"
0.000502890158627362,1.35942642288367,0.132,0.035,1,"Copa","D3","Pericyte"
0.000515467440813186,0.59557367623596,0.365,0.167,1,"Zfhx3","D3","Pericyte"
0.00053187811752554,1.26793856286848,0.164,0.053,1,"Ski","D3","Pericyte"
0.000541609179324806,0.787387329473204,0.27,0.118,1,"Prkce","D3","Pericyte"
0.000561271314049657,-1.97904854927152,0.038,0.145,1,"Ndufb9","D3","Pericyte"
0.000565542329392298,1.50839969539964,0.138,0.039,1,"Hif1a","D3","Pericyte"
0.00057120306697458,2.09429675846079,0.119,0.031,1,"Dpp8","D3","Pericyte"
0.000571227342082048,1.17149480684116,0.17,0.057,1,"Nhsl1","D3","Pericyte"
0.000574078618827732,1.87398144784462,0.113,0.026,1,"Lrrc8d","D3","Pericyte"
0.000578830546905391,-2.37669217639376,0.025,0.123,1,"Eid1","D3","Pericyte"
0.000583532355487472,1.7265147294384,0.113,0.026,1,"Cfap36","D3","Pericyte"
0.000586434408513556,1.31123746456146,0.138,0.039,1,"Pkia","D3","Pericyte"
0.000595281823472897,-2.71385351222961,0.038,0.14,1,"Rps3a1","D3","Pericyte"
0.000599896232953328,0.586001249989434,0.327,0.149,1,"Stag1","D3","Pericyte"
0.000635128955234837,0.845964597292093,0.302,0.145,1,"Wwox","D3","Pericyte"
0.000641415271871322,0.7802697687717,0.296,0.136,1,"Ccdc141","D3","Pericyte"
0.000646311160661935,0.567263892136757,0.566,0.32,1,"Ank2","D3","Pericyte"
0.000648515956083011,1.47426004532358,0.145,0.044,1,"Mtus1","D3","Pericyte"
0.000648602366494634,1.65464621039754,0.113,0.026,1,"Ccm2","D3","Pericyte"
0.000648816952103839,1.34410706036455,0.138,0.039,1,"Arhgap23","D3","Pericyte"
0.000653999207076367,0.563268929898981,0.56,0.32,1,"Diaph2","D3","Pericyte"
0.000662963763619113,1.42696301118049,0.138,0.039,1,"Iqgap1","D3","Pericyte"
0.000662963763619113,1.29850591270801,0.138,0.039,1,"Filip1","D3","Pericyte"
0.000671333082941097,1.19170460813109,0.189,0.07,1,"Kansl1l","D3","Pericyte"
0.000680856654781247,1.41556212860555,0.113,0.026,1,"Ddr2","D3","Pericyte"
0.000696484249530597,-2.12334542785836,0.031,0.132,1,"Atp5o","D3","Pericyte"
0.000697537147945719,1.5154777858081,0.113,0.026,1,"Setx","D3","Pericyte"
0.000720368918864312,1.41355444297953,0.113,0.026,1,"Lrmda","D3","Pericyte"
0.000723755648968291,-0.505833109415369,0.509,0.588,1,"mt-Co1","D3","Pericyte"
0.0007400445469792,-1.90061887171623,0.05,0.158,1,"Atp5j2","D3","Pericyte"
0.000749222833279972,1.08875178308103,0.176,0.061,1,"Stx8","D3","Pericyte"
0.000752736813415418,0.880620515273198,0.277,0.127,1,"Cyp7b1","D3","Pericyte"
0.00075388858279955,0.900301598872658,0.176,0.061,1,"Cdk13","D3","Pericyte"
0.00077169402215892,0.969566344065892,0.17,0.057,1,"Sh3rf1","D3","Pericyte"
0.000774634153254531,0.871719831513408,0.245,0.105,1,"Heg1","D3","Pericyte"
0.000775076025220911,0.832642204833401,0.214,0.083,1,"Mill2","D3","Pericyte"
