"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison"
0.687548830085633,-0.164498550264066,0.184,0.19,1,"Vamp2","Pericyte","MCAO_vs_Sham"
0.688054235922485,-0.260628707337593,0.128,0.134,1,"Gm9774","Pericyte","MCAO_vs_Sham"
0.688054461549777,-0.072916796202618,0.123,0.131,1,"Aldh7a1","Pericyte","MCAO_vs_Sham"
0.688124362233146,-0.0838736902869266,0.535,0.539,1,"Sh3bgrl3","Pericyte","MCAO_vs_Sham"
0.688453754478677,-0.175186376580357,0.143,0.153,1,"Rnf6","Pericyte","MCAO_vs_Sham"
0.689086009832428,-0.31432464083056,0.157,0.162,1,"Med29","Pericyte","MCAO_vs_Sham"
0.689718412091157,-0.10673824373884,0.11,0.1,1,"Snx15","Pericyte","MCAO_vs_Sham"
0.69012807061373,-0.123354142880279,0.104,0.112,1,"Sbf2","Pericyte","MCAO_vs_Sham"
0.691197508144249,0.152191378780536,0.104,0.097,1,"Abhd10","Pericyte","MCAO_vs_Sham"
0.692341913757426,-0.084306098788733,0.153,0.162,1,"Mfsd10","Pericyte","MCAO_vs_Sham"
0.692933804367665,-0.0208925947749421,0.095,0.103,1,"Ccdc32","Pericyte","MCAO_vs_Sham"
0.693290778999665,-0.00560350348107197,0.138,0.15,1,"Rgs19","Pericyte","MCAO_vs_Sham"
0.693443137856078,0.0863484924037299,0.12,0.131,1,"Ifi47","Pericyte","MCAO_vs_Sham"
0.693479981339013,-0.215955588437127,0.265,0.271,1,"Polr2j","Pericyte","MCAO_vs_Sham"
0.693676391197273,0.0462189313343582,0.356,0.34,1,"Rbbp7","Pericyte","MCAO_vs_Sham"
0.694212796205441,-0.0751751989158385,0.116,0.125,1,"Ubxn2a","Pericyte","MCAO_vs_Sham"
0.69516859519903,0.0979141063915074,0.628,0.62,1,"Hes1","Pericyte","MCAO_vs_Sham"
0.695456845468515,-0.0371920150922294,0.112,0.121,1,"Usp9x","Pericyte","MCAO_vs_Sham"
0.695606510428071,0.139856629906061,0.129,0.121,1,"Chchd4","Pericyte","MCAO_vs_Sham"
0.695712698845754,0.00846675435964128,0.243,0.227,1,"Pin4","Pericyte","MCAO_vs_Sham"
0.695722397487545,0.151448667024439,0.12,0.112,1,"Fyb","Pericyte","MCAO_vs_Sham"
0.695736448997041,-0.230573202694354,0.133,0.14,1,"Uba3","Pericyte","MCAO_vs_Sham"
0.696066031776842,-0.0371575776634829,0.227,0.209,1,"Oasl2","Pericyte","MCAO_vs_Sham"
0.696479835627473,-0.129931093673761,0.246,0.255,1,"Clcn4","Pericyte","MCAO_vs_Sham"
0.696977868257564,-0.125344784278481,0.203,0.212,1,"P4ha1","Pericyte","MCAO_vs_Sham"
0.698891268015721,0.0829353061193198,0.343,0.336,1,"Ewsr1","Pericyte","MCAO_vs_Sham"
