"gene","gene_upper","log2FC","pvalue","padj","dataset","cell_type","threshold_used"
"Olfr1535","OLFR1535",2.47856398730009,0.00727611038773885,0.028778769562831,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm14400","GM14400",2.47852747981073,0.00275196185440763,0.0130693664157774,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gfpt2","GFPT2",2.47764023716539,0.00388043382333686,0.0172552281951719,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Sytl1","SYTL1",2.47137219367493,2.32339544799351e-05,0.00022812476847646,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gngt2","GNGT2",2.47097174635739,3.64429785810629e-23,6.93618009916494e-21,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Lnx1","LNX1",2.46721014855317,0.00709959001655843,0.0282353384814677,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Icam1","ICAM1",2.46338385323567,8.80128550911038e-21,1.25982037204787e-18,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Psd4","PSD4",2.46186179940236,0.00666945651751422,0.0267710438455335,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Cdh7","CDH7",2.46047783304746,0.00840422904716488,0.0322312601101351,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Slc24a1","SLC24A1",2.46037516355527,0.00625661517144851,0.0253959631519775,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pgr","PGR",2.45440040781855,0.00732892374248811,0.0289216129459772,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Kpna2-ps","KPNA2-PS",2.44931720446852,0.0064195511414098,0.0259418165583802,"GSE223744","EC","padj<0.05 & log2FC>=1"
"E230013L22Rik","E230013L22RIK",2.44840965716357,7.35771094570159e-05,0.000626834990553623,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Olfr287","OLFR287",2.44325245907136,0.00417368202038975,0.0183039668933331,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Robo2","ROBO2",2.44158504549068,4.58140070036694e-05,0.000414792786881105,"GSE223744","EC","padj<0.05 & log2FC>=1"
"6430562O15Rik","6430562O15RIK",2.44060457311387,7.96117073792627e-06,8.77705138006894e-05,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Sema3f","SEMA3F",2.43619300157747,3.16444101975666e-14,1.88344049698231e-12,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Grm5","GRM5",2.4315076776284,0.00207520059825699,0.0103046084752899,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Il20rb","IL20RB",2.42532173323885,1.00837632374458e-09,2.72466114309769e-08,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pde4b","PDE4B",2.42388252286511,8.79937192447719e-05,0.000725429531041065,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Srrm4","SRRM4",2.42209758606279,0.00969008680248711,0.0361941564414657,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Exph5","EXPH5",2.41670257134342,0.00303907266131102,0.0141839769587461,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Dnajb13","DNAJB13",2.41524491444868,1.64471964011942e-08,3.47821052098514e-07,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm45104","GM45104",2.4142142561637,0.0136925216121419,0.0477652516258403,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm45033","GM45033",2.41108604058982,0.00270145844762896,0.0128718735386337,"GSE223744","EC","padj<0.05 & log2FC>=1"
