"gene_upper","n_datasets","datasets","mean_log2FC","max_log2FC","min_padj","confidence_tier"
"COX6B1",1,"GSE225948",1.236,1.236,0,"Tier5_1dataset"
"KAZN",1,"GSE223744",1.236,1.236,0.034605,"Tier5_1dataset"
"NEK7",1,"GSE223744",1.236,1.236,0,"Tier5_1dataset"
"TNIP1",1,"GSE223744",1.234,1.234,0.001768,"Tier5_1dataset"
"SH3BP5",1,"GSE223744",1.233,1.233,4.9e-05,"Tier5_1dataset"
"TPD52L2",1,"GSE225948",1.228,1.228,0.00111,"Tier5_1dataset"
"PCDHB14",1,"GSE223744",1.227,1.227,6.5e-05,"Tier5_1dataset"
"SWAP70",1,"GSE223744",1.227,1.227,0,"Tier5_1dataset"
"GM26541",1,"GSE223744",1.226,1.226,0.016038,"Tier5_1dataset"
"SLC12A4",1,"GSE223744",1.226,1.226,0,"Tier5_1dataset"
"CYB561",1,"GSE223744",1.224,1.224,0,"Tier5_1dataset"
"DNAAF3",1,"GSE223744",1.224,1.224,0.032225,"Tier5_1dataset"
"TMEM256",1,"GSE225948",1.224,1.224,0,"Tier5_1dataset"
"GM13889",1,"GSE234052",1.223,1.223,0,"Tier5_1dataset"
"GM36989",1,"GSE223744",1.223,1.223,0.021907,"Tier5_1dataset"
"PLOD3",1,"GSE223744",1.222,1.222,0,"Tier5_1dataset"
"ZFAND2A",1,"GSE223744",1.222,1.222,2e-06,"Tier5_1dataset"
"TSR1",1,"GSE223744",1.22,1.22,0.000327,"Tier5_1dataset"
"DBI",1,"GSE225948",1.218,1.218,0,"Tier5_1dataset"
"SELENOF",1,"GSE225948",1.218,1.218,0,"Tier5_1dataset"
"KLHL2",1,"GSE300442",1.217,1.217,0,"Tier5_1dataset"
"NDUFA8",1,"GSE225948",1.215,1.215,0,"Tier5_1dataset"
"MIDN",1,"GSE223744",1.214,1.214,9e-06,"Tier5_1dataset"
"NDUFB2",1,"GSE225948",1.214,1.214,2e-06,"Tier5_1dataset"
"MLPH",1,"GSE223744",1.213,1.213,0,"Tier5_1dataset"
"EFTUD2",1,"GSE223744",1.212,1.212,0,"Tier5_1dataset"
"NHLRC1",1,"GSE223744",1.21,1.21,0.027958,"Tier5_1dataset"
"NOP16",1,"GSE223744",1.21,1.21,0,"Tier5_1dataset"
"WSB2",1,"GSE223744",1.207,1.207,0,"Tier5_1dataset"
"NDUFAB1",1,"GSE225948",1.206,1.206,0.004109,"Tier5_1dataset"
"ERGIC1",1,"GSE223744",1.205,1.205,0,"Tier5_1dataset"
"FAM69B",1,"GSE223744",1.205,1.205,0.020564,"Tier5_1dataset"
"SLC30A4",1,"GSE223744",1.205,1.205,0.000816,"Tier5_1dataset"
"CORO2A",1,"GSE223744",1.203,1.203,3e-06,"Tier5_1dataset"
"GM13772",1,"GSE223744",1.203,1.203,0.000374,"Tier5_1dataset"
"ARMCX4",1,"GSE223744",1.202,1.202,0.013332,"Tier5_1dataset"
"SLIT2",1,"GSE223744",1.202,1.202,0.04542,"Tier5_1dataset"
"CDYL2",1,"GSE223744",1.201,1.201,0.00117,"Tier5_1dataset"
"MAP3K14",1,"GSE223744",1.2,1.2,0.012082,"Tier5_1dataset"
