gene_norm,n_dataset_tp,n_datasets,datasets,cell_types,timepoints,max_log2FC,min_padj
Itih4,1,1,GSE223744,Endothelial,1d,4.096793790935104,0.0102556158589834
Dnah12,1,1,GSE223744,Endothelial,1d,4.0850305980892205,0.0088784260072109
Ifi214,1,1,GSE223744,Endothelial,1d,4.071812796398359,0.0012079326866861
Cd300ld,1,1,GSE223744,Endothelial,1d,4.068398885254234,0.0036930153691614
Cdh8,1,1,GSE223744,Endothelial,1d,4.054322408610117,0.0019599152343233
Tnfsf15,1,1,GSE223744,Endothelial,1d,4.04355971739156,0.0109165586133532
Loxl4,1,1,GSE223744,Endothelial,1d,4.040485074243453,9.585354583727316e-14
Sult2a8,1,1,GSE223744,Endothelial,1d,4.032998672090916,0.003950025036329
Il1b,1,1,GSE234052,SMC,24h,4.0322413,0.0243449119948863
Serpine1,1,1,GSE223744,Endothelial,1d,4.017527208154501,5.121425660337056e-09
Hoga1,1,1,GSE223744,Endothelial,1d,4.009026794327413,1.5846250007065596e-06
Cd44,1,1,GSE234052,SMC,24h,3.9999804,0.0104397534061892
Ac109138.8,1,1,GSE223744,Endothelial,1d,3.9960560390308655,0.0081868430593342
Fsip2,1,1,GSE223744,Endothelial,1d,3.965832823771868,0.0031535426386331
Ac158115.2,1,1,GSE223744,Endothelial,1d,3.963793509633127,0.0312013130551228
Ac126673.3,1,1,GSE223744,Endothelial,1d,3.954384440383903,0.0127240609610027
Spag16,1,1,GSE223744,Endothelial,1d,3.92652631023763,0.0060022355499357
Ano3,1,1,GSE223744,Endothelial,1d,3.9198115704804906,0.0095249038518683
Sdcbp2,1,1,GSE223744,Endothelial,1d,3.917576150535033,5.780677526835336e-21
Rnf183,1,1,GSE223744,Endothelial,1d,3.904459477766925,2.3757084096676277e-09
Cadm3,1,1,GSE223744,Endothelial,1d,3.903955086633266,9.201202787423703e-11
Speer4b,1,1,GSE223744,Endothelial,1d,3.9019022395382135,0.044200247456941
Irf8,1,1,GSE223744,Endothelial,1d,3.897024900282775,0.0005789951837065
Adamts8,1,1,GSE223744,Endothelial,1d,3.894610425914881,2.789500706586833e-16
Zfp981,1,1,GSE223744,Endothelial,1d,3.884586842779495,4.723372628883094e-07
Arhgef37,1,1,GSE223744,Endothelial,1d,3.866144918647932,5.6369309506594096e-08
Soat2,1,1,GSE223744,Endothelial,1d,3.8614094465506863,0.0002264625562111
Eya4,1,1,GSE223744,Endothelial,1d,3.858556111150093,0.0184238699450661
Skint6,1,1,GSE223744,Endothelial,1d,3.8382525467048874,0.0288600947438996
Trhr,1,1,GSE223744,Endothelial,1d,3.8296437138929407,9.73146124013288e-05
Cd244,1,1,GSE223744,Endothelial,1d,3.828317176770964,0.0069404657094488
Pou6f2,1,1,GSE223744,Endothelial,1d,3.8202372011276977,0.0154561796090102
Fgr,1,1,GSE223744,Endothelial,1d,3.8059431882856103,8.134309238802309e-12
Adam1b,1,1,GSE223744,Endothelial,1d,3.797340801542147,0.0434367277560532
Apobr,1,1,GSE223744,Endothelial,1d,3.790532573053085,0.0021295962562197
Hyal6,1,1,GSE223744,Endothelial,1d,3.7710555540152986,0.0049135923826674
Gabra1,1,1,GSE223744,Endothelial,1d,3.758366891240428,0.0016627425602796
Mthfd2,1,1,GSE223744,Endothelial,1d,3.720819941153304,8.99263224306913e-13
Plppr1,1,1,GSE223744,Endothelial,1d,3.7200252846535102,7.147652419229216e-05
Rab20,1,1,GSE223744,Endothelial,1d,3.7154012735894937,3.553337615101506e-09
Ac147634.1,1,1,GSE223744,Endothelial,1d,3.702593190686133,0.0028743598970747
Kcna5,1,1,GSE223744,Endothelial,1d,3.697020590688118,7.416642789693831e-43
Csf2rb2,1,1,GSE223744,Endothelial,1d,3.685095710190133,2.614860305066459e-07
Abcb1b,1,1,GSE223744,Endothelial,1d,3.674579669961732,1.1635197709801067e-34
Ac122305.1,1,1,GSE223744,Endothelial,1d,3.673183710542108,0.0300965402131269
Grid2,1,1,GSE223744,Endothelial,1d,3.66236489993432,9.845826274879162e-06
Plagl1,1,1,GSE223744,Endothelial,1d,3.648158203340847,8.645254024637458e-18
Otof,1,1,GSE223744,Endothelial,1d,3.6451968909555874,0.0238567114308859
Glipr2,1,1,GSE223744,Endothelial,1d,3.642933330566641,1.2323175254414457e-22
Podn,1,1,GSE223744,Endothelial,1d,3.6245013307861513,3.0248521821951766e-09
