"","Macrophage--Sham","Microglia--Sham","Endothelial--Sham","T-cell--Sham","B-cell--Sham","Microglia--Stroke-isotype","T-cell--Stroke-isotype","Macrophage--Stroke-isotype","Endothelial--Stroke-isotype","B-cell--Stroke-isotype","Microglia--Stroke-antiVCAM1","Endothelial--Stroke-antiVCAM1","Macrophage--Stroke-antiVCAM1","B-cell--Stroke-antiVCAM1","T-cell--Stroke-antiVCAM1","Endothelial--Stroke-antiVLA4","Macrophage--Stroke-antiVLA4","Microglia--Stroke-antiVLA4","T-cell--Stroke-antiVLA4","B-cell--Stroke-antiVLA4"
"Bax",0.383952265079023,0.329435612187881,0.305319099334435,0.401974193417773,0.633560686734133,0.29925591394487,0.398964540885653,0.408617047770777,0.326096535941509,0.316467002057857,0.310370405430677,0.44320004774032,0.46741166648514,0.421109846282801,0.524831772559595,0.475699647669134,0.418190115244837,0.303445340684623,0.382379697700155,0.363156451620255
"Isg20",0.0980891191902212,0.00923634892653963,0.0681717689496661,0.187660928122125,0.102835226523049,0.0189536029556778,0.277965498597441,0.101442192435358,0.0885927235657506,0.079975566472197,0.0184047297516728,0.102190044755909,0.0623035191484974,0,0.139622604259918,0.114700861163802,0.068853103985486,0.0240618877340614,0.254439246826004,0.122319105183643
"Pak1",0.475599297383064,0.49837373774411,0.0463157485231896,0.0501105050249901,0,0.46721676716355,0.0269391190740136,0.526424917237175,0.039306913426907,0.035533774642482,0.47524499778109,0.0221893914398151,0.370424718517487,0.173108487725147,0.040265060871846,0.0221387112574201,0.513561185900664,0.468241109264979,0.0252536876055924,0.0383162245821022
"Wee1",0.011985117475858,0.00488384500490859,0.0542689235876554,0.0312265898001111,0.104284618215387,0.00274263904664212,0.0191347980656933,0.00194355465761071,0.0385491350594004,0.0289877446397117,0.00558558468907259,0.0646058629202247,0,0.0392305604661698,0.0336676385926404,0.060342179437474,0,0.00697488268410898,0.0367552790817498,0.041732458826945
"Phkg2",0.0768969184329704,0.114339005071954,0.0506084687232702,0.135852915121634,0.266079281815612,0.120249633123265,0.0751856993567213,0.0916074805819761,0.0537786900843,0.119183108592717,0.100764410233379,0.0555044861857154,0.110270135417792,0.0843051216459219,0.0945911406005873,0.0629111166677568,0.113003756351284,0.1135011519174,0.0850292881434239,0.113143197571506
"Mgmt",0.109570652504223,0.1478670328155,0.140713966619694,0.0146642597074145,0.231546853279029,0.163140269520837,0.0780826068050838,0.157147800880815,0.155519697737042,0.0901605260523779,0.16196495141159,0.119243338371823,0.153316545044438,0.0208608241510014,0.0225735629718967,0.101276362117426,0.15088600366255,0.146406688748357,0.0375215562052445,0.30022431784468
"Ifitm3",1.47682350652452,0.0928629161204862,1.68753564746424,0.142383806957754,0.112560944753574,0.143930821672045,0.0802623012236682,1.60427121335034,1.74683176096211,0.0837332325731776,0.168769958812306,2.02514406338896,1.65791978014821,0.193667659898078,0.14998010297461,2.06821026873236,1.63398136650543,0.191922550354067,0.0560094779294775,0.0823781615530233
"Fadd",0.0296938245355228,0.0414819473926978,0.0284050951853574,0,0,0.0392096854579996,0.0183522145172343,0.0112248097665764,0.0587045897153907,0.0437784325816186,0.0343109808534718,0.044676615982826,0.0332832217252226,0.0528254140867067,0.020572713535457,0.0404782458248591,0.0315921385672511,0.0289888780081895,0.0417872825261891,0.0817307628802919
"Ccnd1",0.857752892472748,0.435910551047989,0.159050857248818,0.0207828674355126,0,0.361145920485351,0.0317014661027604,0.756569029026763,0.198924621250502,0.0710127323038011,0.353276210502462,0.254640480636623,0.640835774088281,0.112666008704465,0.0354329775477313,0.242495514106446,0.946432266266935,0.312618965237755,0,0
"Vdac3",0.332295639696002,0.314214415447745,0.566836425884135,0.337394926612184,0.371567083672893,0.258021021944049,0.256589182845297,0.356698781109486,0.572305170360026,0.335880625442266,0.288087018987258,0.734515233697897,0.412888306381424,0.341069306813995,0.320762886419567,0.771328011054625,0.41955061534681,0.300696059605358,0.277133747167701,0.333260831900105
