"dataset","cell_type","pathway","n_core_genes","mean_stroke","mean_ctrl","delta","delta_z","first_auth","journal_tier","weight","time_bin","days_post","assay","species"
"GSE244576","Pericyte","Ferroptosis",9,0.468031472607796,0.338866088145163,0.129165384462633,1.39903428229272,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Pericyte","Necroptosis",8,0.33595800146346,0.170218727994559,0.1657392734689,1.19467895775803,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Endothelial","Apoptosis",9,0.209379575217225,0.264573993531346,-0.0551944183141206,-2.2252378915528,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Endothelial","Ferroptosis",9,0.148293693909188,0.163466108002571,-0.0151724140933832,-1.85533654158913,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Endothelial","Necroptosis",8,0.354153383222572,0.18522956446489,0.168923818757681,1.26088077675256,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Astrocyte","Apoptosis",9,0.234892764273768,0.12660620244383,0.108286561829937,0.961480586015336,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Astrocyte","Ferroptosis",9,0.183005001821089,0.0826250119628716,0.100379989858217,0.750012686482657,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Astrocyte","Necroptosis",8,0.229882681530059,0.113409826063185,0.116472855466874,0.170505585638167,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","OPC","Apoptosis",9,0.126461216595454,0.080065793858306,0.0463954227371478,-0.244957229386399,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","OPC","Ferroptosis",9,0.112892338156045,0.0586470067318735,0.0542453314241711,-0.290181135783838,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","OPC","Necroptosis",8,0.169385602020089,0.113498464308529,0.0558871377115604,-1.08897869132325,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Fibroblast","Apoptosis",9,0.219086992167589,0.136830800930407,0.0822561912371821,0.45407316239466,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Fibroblast","Ferroptosis",9,0.227387272466699,0.140081392867069,0.0873058795996294,0.45523194713773,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Fibroblast","Necroptosis",8,0.339373461478998,0.200764689147044,0.138608772331954,0.630677393130686,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE250245","Astrocyte","Apoptosis",9,0.247030045019118,0.094088582532761,0.152941462486357,1.90232602062424,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
