"dataset","signature","cell_type","timepoint","ctrl_mean","stroke_mean","delta","n_genes"
"GSE279666","M2_markers","Endothelial","D14",0.060938128038289,0.0474476098551287,-0.0134905181831604,17
"GSE279666","M2_markers","Fibroblast","D3",0.0293728331254755,0.105953567808125,0.0765807346826496,17
"GSE279666","M2_markers","Fibroblast","D14",0.0293728331254755,0.0559859664056678,0.0266131332801923,17
"GSE279666","M2_markers","Macrophage","D3",0.35727123505975,0.320257600135686,-0.0370136349240641,17
"GSE279666","M2_markers","Macrophage","D14",0.35727123505975,0.235622001500511,-0.12164923355924,17
"GSE279666","M2_markers","Microglia","D3",0.623041526474549,0.568792885617922,-0.0542486408566274,17
"GSE279666","M2_markers","Microglia","D14",0.623041526474549,0.676725654803245,0.0536841283286955,17
"GSE279666","M2_markers","Neuron","D3",0.0372042336294344,0.0471643680898553,0.00996013446042091,17
"GSE279666","M2_markers","Neuron","D14",0.0372042336294344,0.0263131308405068,-0.0108911027889276,17
"GSE279666","M2_markers","Oligodendrocyte","D3",0.019127418435835,0.0730046664452162,0.0538772480093812,17
"GSE279666","M2_markers","Oligodendrocyte","D14",0.019127418435835,0.0276280932407607,0.00850067480492568,17
"GSE279666","M2_markers","OPC","D3",0.0211737402827384,0.0747821549437185,0.05360841466098,17
"GSE279666","M2_markers","OPC","D14",0.0211737402827384,0.0383367788659473,0.0171630385832089,17
"GSE279666","M2_markers","Pericyte","D3",0.0247139497522953,0.108385714392125,0.0836717646398294,17
"GSE279666","M2_markers","Pericyte","D14",0.0247139497522953,0.0363651254331159,0.0116511756808206,17
"GSE279666","DAM_markers","Astrocyte","D3",0.309267986829816,0.237157833451945,-0.0721101533778708,25
"GSE279666","DAM_markers","Astrocyte","D14",0.309267986829816,0.277333013504652,-0.0319349733251638,25
"GSE279666","DAM_markers","Endothelial","D3",0.188321738701176,0.187099384474501,-0.00122235422667522,25
"GSE279666","DAM_markers","Endothelial","D14",0.188321738701176,0.189175572371588,0.000853833670411697,25
"GSE279666","DAM_markers","Fibroblast","D3",0.245757944252993,0.221148532411252,-0.0246094118417409,25
"GSE279666","DAM_markers","Fibroblast","D14",0.245757944252993,0.18594983027886,-0.0598081139741322,25
"GSE279666","DAM_markers","Macrophage","D3",0.389767572638475,0.69763127618806,0.307863703549585,25
"GSE279666","DAM_markers","Macrophage","D14",0.389767572638475,0.722193431957046,0.332425859318571,25
"GSE279666","DAM_markers","Microglia","D3",0.459263742388729,0.999416266543547,0.540152524154818,25
"GSE279666","DAM_markers","Microglia","D14",0.459263742388729,0.598406115873388,0.139142373484659,25
"GSE279666","DAM_markers","Neuron","D3",0.0404374664484412,0.0757483981855761,0.035310931737135,25
"GSE279666","DAM_markers","Neuron","D14",0.0404374664484412,0.0607672868516079,0.0203298204031667,25
"GSE279666","DAM_markers","Oligodendrocyte","D3",0.291635746754554,0.267260618689959,-0.0243751280645954,25
"GSE279666","DAM_markers","Oligodendrocyte","D14",0.291635746754554,0.24489833705238,-0.0467374097021744,25
"GSE279666","DAM_markers","OPC","D3",0.227904390744794,0.236104481733615,0.00820009098882071,25
"GSE279666","DAM_markers","OPC","D14",0.227904390744794,0.23392467855005,0.00602028780525563,25
"GSE279666","DAM_markers","Pericyte","D3",0.141385181778825,0.123843752303017,-0.0175414294758077,25
"GSE279666","DAM_markers","Pericyte","D14",0.141385181778825,0.131315975881218,-0.010069205897607,25
