"","Astrocyte__Sham","Oligodendrocyte__Sham","Neuron__Sham","Microglia__Sham","Endothelial__Sham","Fibroblast__Sham","Neuron__MCAO_contra","Astrocyte__MCAO_contra","Oligodendrocyte__MCAO_contra","Microglia__MCAO_contra","Endothelial__MCAO_contra","Fibroblast__MCAO_contra","Fibroblast__MCAO_ipsi","Microglia__MCAO_ipsi","Neuron__MCAO_ipsi","Oligodendrocyte__MCAO_ipsi","Astrocyte__MCAO_ipsi","Endothelial__MCAO_ipsi"
"Bak1",0.0196415982282103,0.0130024928656602,0.0159538831785432,0.0447978384459986,0.0357923402494381,0.0180502290529299,0.0216514796544412,0.00582923053901156,0.00572680003465669,0.00806667322746976,0.051460440937282,0.00517161208056934,0.027742754777465,0.0213394562425431,0.0198736555425835,0.00902234254617577,0.0131426499855041,0.0512502140183541
"Birc2",0.0435631159462343,0.0521592905637071,0.07375547664372,0.053839372557198,0.0343631481149848,0.0580269283398332,0.087857948465898,0.0566127718309288,0.0435960796174997,0.100591489899163,0.0792868839181246,0.0810627457934572,0.0923624463501085,0.158079888781754,0.102807034767981,0.0881640362201222,0.158454541056097,0.122275432315967
"Cdc37",0.0513452046824672,0.0280457914172693,0.0471542596104217,0.106582765569462,0.231732195011441,0.0312480546618456,0.0553909229177483,0.0439004217903844,0.0290454294623652,0.0134918102553796,0.136307238637075,0.0702928279568593,0.0940298209856817,0.0700624914756216,0.0593293834319254,0.0495881602250721,0.0627742260903187,0.186550040308956
"Chmp2a",0.0204408177502657,0.0142630806150334,0.0303852169695608,0.0579749962603427,0.109400089208572,0.0594432261553674,0.0336844385624123,0.0179977993852437,0.018618411843484,0.0586591286328665,0.102720047794855,0.0485236060794275,0.0435025693631752,0.0602409142528555,0.0360610215024579,0.0360076844303674,0.0429921674326233,0.119869640314734
"Chmp2b",0.035425320716729,0.0418108202482218,0.0673719188943515,0,0.143300547172636,0,0.0711266526726782,0.0700344197646104,0.0449957459673834,0.0454081048795789,0.144968132415831,0.0533048703041863,0.0535415573250511,0.057776557450403,0.0746456849340185,0.0590054802045877,0.0580236163417792,0.112936807431992
"Chmp3",0.0338603486446092,0.0707089347417022,0.103920848352332,0.231986418056869,0.158687786554846,0.0714816966779514,0.130211324424029,0.086649711385898,0.0627961163181688,0.0871118669242518,0.21424300100798,0.0666457047122535,0.143237469728855,0.127729939324336,0.137140407190173,0.0848837271837041,0.0665965467654568,0.23395127185206
"Chmp4b",0.0944354949349918,0.0674261199411021,0.126799227752248,0.0471428277864744,0.103222057833748,0.133767032584509,0.162239847639028,0.180772057305692,0.0811396955989107,0.109899454004659,0.155337500315865,0.164499866506681,0.18504049056287,0.21343290097137,0.1635573441108,0.0964597450152042,0.166074664138506,0.182267248054214
"Chmp4c",0,0,0.000149655346783739,0,0.0133190590636483,0,0.000276868371710153,0,0,0,0,0.00643795743633198,0.060573590960574,0.00175754814468504,0.000794112315946408,0.000651911994225882,0.00125363079189214,0.0136701402371222
"Chmp6",0,0.00260809536559862,0.00647271174515204,0,0.00603591618602763,0,0.0106830578288635,0.00591977273390633,0.00043293311658553,0.00811633631492665,0.0353530251967935,0.00613754826469186,0.0118878094199407,0.0282388853869043,0.0107266928747798,0.0054904273620201,0.00848020113933438,0.0373382061053428
"Chmp7",0.0278298479601829,0.126308036330988,0.0776001791170361,0.0947480365310455,0.101584988135405,0.0472225962416666,0.0997299142813148,0.0383992212361415,0.137584015364527,0.0378571081807433,0.0741657896671346,0.0694373249190645,0.0684108421064137,0.0808989424565611,0.0966517974182939,0.142034564619302,0.0634137876069546,0.0779811628276521
"Cycs",0.00921475793243737,0.00117587945684579,0.0140019576265243,0,0.0251310073737896,0.0197954079376282,0.0217118950436309,0.0150572822528437,0.00859748764224507,0.0214319580872034,0.0567507373077432,0.0270929237089443,0.0263069732745021,0.0231654716536923,0.0227771771915522,0.0270223194479328,0.0241064679499896,0.0826982216523773
"Fadd",0.00445589691749289,0,0.00658790195879291,0,0,0,0.00969264993244381,0.00725407232375346,0.000548141478920313,0.00880098632359033,0.0312184963411489,0,0.0269377462665284,0.032034015133108,0.0115291536782781,0.0101145339142836,0.0239164196724755,0.0262429396606529
