"","Neuron-Stroke","Oligodendrocyte-Stroke","Pericyte-Stroke","Fibroblast-Stroke","Endothelial-Stroke","Microglia-Stroke","Astrocyte-Stroke","OPC-Stroke","Neuron-Sham","Astrocyte-Sham","OPC-Sham","Oligodendrocyte-Sham","Microglia-Sham","Fibroblast-Sham","Pericyte-Sham","Endothelial-Sham"
"Atg7",0.703635409950465,0.750398014065088,0.604296721692065,0.822041512339678,0.566332354171539,1.61111638540108,0.753072015485916,0.682489095928664,0.658301922699028,0.708460398305133,0.542039347703785,0.811367944082083,0.680589313917476,0.565581253331443,0.345513565286992,0.441346894406272
"Bid",0.0843834643098164,0.0161976449611832,0.0493791733043293,0.10335109026158,0.060034947471744,0.375805255905033,0.0359295169146388,0.0945229775510669,0.0808075847412627,0,0.0976156675178194,0.0210179870602406,0.485446459966629,0.035771785865993,0,0.0198120239876943
"Lpcat3",0.484744579240864,0.91486630017176,0.571696642997072,0.95880862224776,1.20388530856878,1.42604095760987,1.31250313734627,0.816322727845933,0.41321094925862,1.0426906682314,0.535254054297039,0.58320016736632,1.85321060453576,0.714612506882812,0.676039205335052,0.821144705949779
"Eno2",1.34784058007626,0.901120442073414,0.967181988687875,1.10964963199874,0.911052386807435,1.0647416987926,0.873601737342381,0.784314130662698,1.2767548626533,0.791355425495291,0.785067577769012,1.03222851508842,0.998622300337321,0.889541755444423,1.32314142011904,0.494944755397051
"Ccnd2",1.00821664399108,0.260712857298935,0.811233164412107,0.552729651600867,0.676263640342227,0.30993406486484,1.12243663526296,0.541430211747028,1.12676226771759,0.978150224540664,0.425257688500171,0.301726366080854,0.200936465795555,0.78073634333577,1.02768075032464,0.489074264569661
"Cdkn1b",0.117710463948403,0.488117911267875,0.337983040642236,0.578532771282319,0.764492387448103,0.363792708085147,0.501398642287291,0.337347658898517,0.127563965173555,0.461945853937983,0.463417738463454,0.635384978127904,0.393997222719695,0.353749773833085,0.593261582564791,0.65342174906487
"Emp1",0.00948481882840274,0.00951150003605132,0.0125465931355382,0.222035002697567,0.125457678591822,0.135219534251259,0.0802229797717933,0.0277518918462959,0.00520420196179615,0.0204066535964293,0,0,0,0.127566298468308,0,0
"Chmp2a",0.444256946476084,0.639627274145893,0.886797964869522,0.767050727589145,1.11372708565477,0.71144080527916,0.585659954036322,0.514576011616358,0.505866044090912,0.686577309391458,0.713883672716842,0.81714385163562,0.613735949402632,0.799735904294856,0.449057506569402,1.37678831940743
"Slc1a5",0.0177685665492553,0.0575348405189062,1.09061028544523,0.57272551708965,0.134934674720015,0.107941779708761,0.0794075062901508,0.023848651589834,0.0123044548755986,0.0901919607536684,0,0.0673377910854018,0,1.23895344460333,1.10929921649148,0.0529458630382126
"Ftl1",0.939044265243106,1.84123253421873,1.80782795488583,2.6259162235812,3.27538095380862,3.74002886089624,2.08520097764609,1.180737146998,0.748267294384041,1.45790449922172,1.02835480218353,1.609272796828,1.86432632004356,1.83088661019462,1.73843133561615,4.4657959809016
"Bax",0.294912926601212,0.393125321435724,0.36905185445534,0.320773386176651,0.604491612333696,0.401936914096612,0.495346886508755,0.356580979699036,0.337498537988808,0.397377903204118,0.365813060802949,0.515811890245125,0.369364829992038,0.401060754327125,0.20605773218819,0.798020083260007
"Isg20",0.00730458376764392,0.00804899372416895,0,0.012830026522425,0.0461901781019911,0.0280606330262983,0.00497413019364217,0.00750009871761038,0.00396749135937068,0.00774842073683166,0.0425921777154935,0,0,0,0,0.0741643264017552
"Nox4",0.0267956566595098,0.0121116008482295,0.170375874833968,0.381085795736946,0.102585941249435,0.0072361797077489,0.183926749457653,0.0880071912472623,0.0198360941476651,0.0165170820648508,0.0593108621096925,0.00742122790064143,0,0.181095862872155,0,0.0163187862366275
