gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke
Ccl4,0.11944362,1.4400258,0.10907484,1.1820236,0.48902714,2.4757545,0.70916885,3.11614,0.5756987,2.249242,0.113260455,1.1772008,0.13149036,1.1633614,0.10597135,1.1535964
Ldha,0.92436135,1.2948515,1.5646392,1.7406187,0.8293323,1.6052736,0.8273033,1.5675473,1.1162958,1.3672487,1.2418771,1.4725058,0.45293567,0.8044135,1.2219627,1.4823195
Il12b,0.0,0.0029110198,0.0,0.0014642796,0.0020364518,0.009026932,0.0008673477,0.012101774,0.0,0.0017486487,0.0005230778,0.0021864658,0.0,0.0037764919,0.0,0.002320409
Anxa1,0.083502576,0.07312506,0.06278366,0.06489749,0.2844224,0.34038097,0.02924473,0.029984867,1.7112797,0.9953283,0.10563896,0.07905736,0.02610995,0.04390661,0.39749256,0.392513
Psmb8,0.2521415,0.33946437,1.0685799,0.7653708,1.364198,1.3553306,1.1360937,0.95711297,1.3774483,1.0517819,0.2541673,0.23316431,0.21649972,0.20928732,0.27217516,0.33696035
Serpina3n,0.03946223,0.44494346,0.007150474,0.13830711,0.002086157,0.08107944,0.001977344,0.08443084,0.0041322038,0.09792352,0.0026794379,0.09887659,0.010821825,0.67816144,0.0010828103,0.080144994
Olfml3,0.26181555,0.34860256,0.17466557,0.19618256,0.41047722,0.6173703,2.6186483,2.0757675,0.27790585,0.24197076,0.41539714,0.3042658,0.23911826,0.2390767,0.24085745,0.23859459
Pkm,1.3354058,1.6281242,1.4962274,1.8172572,0.9325442,2.4788127,0.8816049,1.781468,1.69674,2.0669236,1.861313,2.0253482,1.0183383,1.3305733,1.2383397,1.6792097
Tm4sf1,0.47247618,0.5886279,1.627313,1.5346183,0.25431362,0.25361654,0.26210105,0.27679685,0.2730665,0.37884733,0.40060574,0.41586468,0.2297929,0.30113986,1.6349157,1.7280977
Tlr2,0.0288846,0.13255318,0.015027261,0.075523816,0.27847388,0.66341627,0.24586411,0.6822659,0.12046781,0.32144794,0.024596648,0.09626415,0.009210438,0.095481835,0.010300399,0.09057172
Anxa2,0.37242806,0.5978514,0.9371126,1.3973236,0.5230729,1.0183735,0.14777285,0.31067008,1.5122352,1.4992348,0.3906481,0.45976797,0.18484995,0.36252978,0.7227607,1.0809419
Cxcl1,0.0009899039,0.025759833,0.018537166,0.028530912,0.023721816,0.038435433,0.004726626,0.011122073,0.0,0.03671835,0.019714238,0.018043699,0.0011986572,0.009016129,0.016340133,0.098185964
Mrc1,0.052476246,0.052806694,0.027979497,0.026490608,1.7445205,0.4334321,0.054807093,0.040560853,0.039299723,0.03997715,0.038322706,0.022901963,0.04709309,0.042088494,0.040333048,0.05032526
Cd44,0.052282758,0.1622921,0.003306316,0.022522602,0.17169009,0.46523058,0.006494753,0.041665643,0.6546657,0.5969779,0.015539309,0.033419963,0.0036043024,0.04707908,0.01936378,0.06088204
Tgfb2,0.26588854,0.23059206,0.5154475,0.22615676,0.06665723,0.029794091,0.05199134,0.032737017,0.06974865,0.05568029,0.35965014,0.30262178,0.043636143,0.03115292,0.4530984,0.32107455
Il10,0.0,0.0005123967,0.0,0.000120153505,0.00651223,0.005051614,0.00026658564,0.0,0.0,0.0045521096,0.0,0.0,0.0,0.0,0.0,0.0
Cybb,0.01877455,0.055269573,0.010005424,0.027448377,1.1580719,0.6965795,0.026169155,0.11077466,0.7244126,0.18439311,0.015343549,0.027110888,0.022988953,0.040416196,0.014307959,0.03137513
Macrod1,0.14191374,0.08094879,0.038156,0.02513768,0.06280895,0.020709699,0.032832652,0.03020815,0.022561995,0.019394256,0.28273872,0.20096467,0.276658,0.1952187,0.07329431,0.05127693
Emp1,0.02811048,0.12251144,0.03079828,0.20543168,0.007951125,0.30673587,0.0089528235,0.052581895,0.024952078,0.063498974,0.08647786,0.08704185,0.0075283577,0.07031498,0.007018021,0.06274798
Hif1a,0.21087804,0.2694584,0.19924475,0.31241697,0.20216961,0.52394575,0.20413174,0.34130237,0.18511319,0.41107208,0.21941279,0.22785746,0.17958884,0.25695905,0.24783204,0.30810502
Cxcl2,0.010137734,0.35169688,0.012243221,0.28141674,0.12736106,1.1781561,0.009852981,0.40233126,0.8126059,3.0378826,0.010674725,0.28455713,0.0072933715,0.29468265,0.0053502047,0.29881153
Pparg,0.00075461745,0.0008118793,0.0010034906,0.0018455222,0.024133068,0.01294822,0.0004323949,0.0009780199,0.0,0.0012001777,0.0066768485,0.007820188,0.0,0.0,0.0021399218,0.0042132176
Socs1,0.03179542,0.055401403,0.0296975,0.038295224,0.08148851,0.1278692,0.10022676,0.17639352,0.23106378,0.2339232,0.03356673,0.03562239,0.017631974,0.040617358,0.02219697,0.048640605
H2-T23,0.13350306,0.14653957,0.7302194,0.5417271,0.75203115,0.48173878,0.6579809,0.4215533,0.57180357,0.39915738,0.25279608,0.16454135,0.09789893,0.11409103,0.13674188,0.1459983
Srgn,0.2818271,0.7710216,1.9128414,1.8083603,1.1184006,2.6144812,0.8708337,1.897178,1.9933875,3.0445015,0.30720308,0.5531397,0.24723968,0.5501556,0.31545916,0.60322785
Gbp2,0.09670525,0.15961185,0.58187634,0.38342476,0.2116481,0.16458175,0.10737717,0.06926183,0.2680018,0.2816139,0.10606464,0.08147132,0.047332533,0.05062497,0.15934287,0.1825543
Cd14,0.088921376,0.7709747,0.0658062,0.60152847,1.1033068,2.5680923,1.3605331,2.0067644,0.4034195,1.980511,0.07272061,0.5811313,0.07830951,0.58007973,0.08691768,0.572186
Irf4,0.0011444313,0.0018266018,0.0022782113,0.0016048993,0.036642067,0.009575719,0.008476816,0.002231068,0.007300652,0.009172498,0.0011841921,0.0012984235,0.0017106973,0.002062441,0.0026001437,0.0
Gpnmb,0.010967162,0.04257934,0.00035113958,0.0076347673,0.00077800784,0.057596233,0.0010916806,0.011035692,0.0,0.018684328,0.012380052,0.044170093,0.0031594972,0.009832286,0.0,0.0067053754
Tnf,0.012380646,0.19159201,0.008287408,0.10407745,0.40095246,0.7151922,0.10325041,1.0749912,0.120634496,0.343253,0.008743902,0.11572916,0.011128561,0.116054334,0.015388683,0.12110837
Cdkn1a,0.20833114,1.0276457,0.9140232,2.0609245,0.48994872,1.7746708,0.22253436,1.1539007,0.18277018,1.0356994,0.16835149,0.6083756,0.22621371,2.0510566,0.24195431,1.3773301
Trp53,0.21823297,0.22028582,0.25043896,0.27459693,0.2740751,0.27898923,0.36427432,0.34505522,0.21415837,0.19608599,0.124235585,0.12393404,0.08005012,0.13166259,0.2079539,0.23561287
Gfap,0.3644022,1.3080914,0.010122967,0.101108186,0.009801759,0.11462634,0.008885408,0.10828644,0.011594244,0.13437325,0.013057357,0.11064802,0.03162227,0.17083137,0.013677254,0.09160397
