"Oligodendrocyte--Sham","Microglia--Sham","Neuron--Sham","Pericyte--Sham","Endothelial--Sham","Astrocyte--Sham","OPC--Sham","Fibroblast--Sham","Neuron--MCAO","Astrocyte--MCAO","Microglia--MCAO","Oligodendrocyte--MCAO","OPC--MCAO","Fibroblast--MCAO","Endothelial--MCAO","Pericyte--MCAO","gene","pathway"
0.516227707944984,0.564292352337837,0.465807688661625,0.87304907474957,0.947172747116595,0.543050877458897,0.542146564274195,0.585341033414478,0.4600959209054,0.681820113316588,0.506609317808745,0.555207852889652,0.496093544990718,0.734333575339117,1.02874249524508,0.969225705317727,"Hmgb1","Necroptosis"
0.00868738763079227,0.0297420262890077,0.0147958700681418,0.126273071168204,0.287965808280796,0.01045221132337,0.184040520505061,0.0657476079832634,0.0210107569375432,0.0777941560214748,0.0182509172979448,0.0203630344772625,0.160272388980526,0.0504002627339152,0.103303705611958,0.10153381539626,"Cav1","Apoptosis"
0.0473447841876211,0.0277652287369511,0.0717847378789281,0.0373272467021818,0.0484975783700317,0.0514109437435084,0.0696739219247785,0.0466228759875605,0.067495964748113,0.0651739605941446,0.0640039204289914,0.0717856381364593,0.0998777824612024,0.0808396118449467,0.0288415463531532,0.0858822936011128,"Casp2","Apoptosis"
0.169417261785946,0.373514130262546,0.760363359150825,0.0792887193028173,0.188746929651151,0.726662056505168,0.593439101898616,1.18443379331439,0.398834515184632,0.596948380781787,0.245999036204887,0.110690104238516,0.393333197127941,1.02614447727838,0.0665703280265516,0.196831525095452,"Gsdme","Necroptosis"
0.1570067622813,0.217227585785142,0.154117871756091,0.316295766882119,0.255900371478726,0.178601523961031,0.134362489118805,0.175145210706243,0.116180859652712,0.148629121305657,0.107603509648924,0.113686330471021,0.0907075372669188,0.127510541252278,0.253956669487949,0.149469274986839,"Cycs","Necroptosis"
0.00609319817531508,0,0.0110176685033075,0.0252097536680064,0.00243370920510599,0.0119925750941533,0.0138122081335711,0.0244678663748001,0.0162907135724921,0.0777398494378708,0.0267400895493692,0.0501347306166976,0.0271498679155716,0.0567154087294129,0.0536067641055914,0.0410605546124314,"Gadd45a","Apoptosis"
0.190421944956217,0.298514911697447,0.218137018464077,0.291966583090645,0.278042512090288,0.137592561428562,0.170459035741062,0.211766541024815,0.241744245829566,0.213493329069534,0.43767946777304,0.241214843905012,0.217708011372734,0.381053252228154,0.201047802449377,0.396393819821033,"Chmp3","Necroptosis"
0.011754659661482,0.0170444922592015,0.0176249380500968,0.0156422091505691,0.0246789862203563,0.0292244555328893,0.00847163038163656,0.0244064845869491,0.0297180112731238,0.0693750385904547,0.0266854982098199,0.0362421801468482,0.0381520179183135,0.0455744655167097,0.019968497682156,0.0585811020773479,"Retsat","Apoptosis"
0.111588582648407,0.0923766483465698,0.0861320441584159,0.135199649475835,0.164707481146919,0.116609292057976,0.0930995135312046,0.146017271011691,0.109391347503473,0.162136519533348,0.153489569563865,0.169954201001163,0.108428540894589,0.144545107852956,0.236827971785434,0.192016518786468,"Pcbp1","Ferroptosis"
0.1320358818843,0.19804010421597,0.204271539206325,0.128660546907138,0.114799399623787,0.162149357627411,0.188378114670605,0.133912377133236,0.189932143915249,0.214266599133007,0.612305980040353,0.237512155114342,0.229608366598672,0.25647152398618,0.0837677963171022,0.229969664386862,"Atg7","Ferroptosis"
0.00654951606225119,0.0724136943914842,0.016378218009052,0,0.0131809769079996,0.00431192852770202,0.0163086939887323,0.0091661630900066,0.0312384070793993,0.0213694846077857,0.119696026585916,0.0201497887742991,0.0279368280588669,0.0388539535847996,0.011898834289543,0.0203517949461992,"Bid","Apoptosis"
0.161324178868125,0.230142709172348,0.138567541822468,0.15279407835403,0.241280826219776,0.301688144480803,0.158226032054212,0.187820220609369,0.155650618574793,0.441483560682901,0.417481556924871,0.208089293498858,0.247951754596176,0.309362776499066,0.159616158956073,0.326077799695271,"Lpcat3","Ferroptosis"
0.138898588631215,0.170491871735902,0.346071302712855,0.119574538025651,0.168760445082408,0.128349521054488,0.141382415702065,0.254253813172579,0.396591311814852,0.161265357884222,0.176673977592837,0.18105214376622,0.181278492351428,0.202941506066355,0.0846998503724128,0.109120608701377,"Eno2","Apoptosis"
0.0906472410128677,0.0772005949115472,0.322532612728686,0.159978604145704,0.186969466660707,0.238263158094742,0.135607129012965,0.15345531405848,0.161852076933149,0.218050745774002,0.0450378622362156,0.0405492010300854,0.0942238337615271,0.108364992819626,0.0507501919508671,0.117295913362429,"Ccnd2","Apoptosis"
0.117067009112385,0.128001577079529,0.0404398544754892,0.190596370690636,0.0923462046129384,0.102893776238777,0.0558695130012194,0.143892300647091,0.0423068644177346,0.113569254758653,0.102541154661438,0.13044053513364,0.102588920648809,0.153112880541705,0.0808508654606111,0.135644593671932,"Cdkn1b","Apoptosis"
0.0022592524832999,0,0.00258917778361549,0.0220140338688714,0.0034598675002269,0.00907222313773998,0,0.0856452628480708,0.0348977242803249,0.219818187556336,0.122681721469781,0.0990646485596173,0.0781515898116139,0.220248178909678,0.333208521000432,0.174764963560202,"Emp1","Apoptosis"
0.136747597932205,0.102414141963516,0.1289401554565,0.293261770033804,0.235391576043105,0.130999014792051,0.135147394103309,0.192892544858402,0.133979314842522,0.193169896459233,0.161175290616611,0.142124734785781,0.122125699771078,0.196753343943375,0.339605209973741,0.264127784384712,"Chmp2a","Necroptosis"
0.015914734936231,0.0120531100630174,0.00667398407511513,0.25024314093318,0.00237740772039991,0.00881337223437168,0.00287488750823082,0.226637251984204,0.0115987831851891,0.0709615372307207,0.077300701113824,0.0394793894460178,0.0156461959416817,0.253306642114004,0.0369928984703597,0.236250676649008,"Slc1a5","Ferroptosis"
0.187207049323422,0.132901659992185,0.125921118636078,0.587464154789799,0.576150034481063,0.202035017517598,0.213922672182427,0.248664154302962,0.885824820048247,0.76819182060186,1.3668927413492,0.983820119686413,0.745225895593687,0.831218768715122,1.57268037755374,0.859258274817907,"Ftl1","Ferroptosis"
0.100350651717977,0.0752842516219172,0.0891228942904552,0.129620005821868,0.168016583715423,0.114082355748375,0.11805080508732,0.111304512470594,0.144791861030107,0.185192664312004,0.249606639334209,0.172674096652981,0.152724977967141,0.21564864658006,0.298931378871487,0.19855106572048,"Bax","Apoptosis"
0.00164579125987537,0,0.00180281781528114,0.00840026232500666,0.0256277848082946,0.000965756309164598,0.00242652714570515,0.0154617617798475,0.00307019194270901,0.00808030604827513,0.0060941874921687,0.012728371525609,0.00877928731709724,0.00854899498582195,0.00814740636333745,0.0156051671044778,"Isg20","Apoptosis"
0.00856251281032004,0,0.0254973145699606,0.0183393708799136,0.00133966180761699,0.0137452274857312,0.00674321526449966,0.0238123003909583,0.0298830851702623,0.204106525884504,0.0104659250853107,0.029311592316234,0.0494213213692152,0.0840428486675268,0.00949064762951543,0.195612951445312,"Nox4","Ferroptosis"
1.62352970159554,0.60553250216843,0.661466217386002,0.2921114732012,0.356994498585348,0.398165295122085,0.471002385146618,0.268022191268427,0.504303804028031,0.429591222852845,0.319425193755425,1.51535746455227,0.4371543254476,0.25466458639935,0.153958431696918,0.179739872752025,"Pak1","Apoptosis"
